Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018                                                                                                                                                                                                                 cpcbenvis.nic.in/waterpollution/2010/RIVER GANGA.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2010 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,,B.O.D. (mg/l),,,NITRATE- N (mg/l),,,NITRITE- N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,> 4 mg/l,,,6.5-8.5,,,< 2250 µmhos/cm,,,,< 3 mg/l,,,,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
2564,"GANGA  AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",12.0,28.0,21.7,7.4,8.8,8.2,7.7,8.2,8.0,204,,271,242,2.7,2.8,2.8,0.82,1.86,1.49,,,,1100,1700,1367,2800,9000,4933
1077,"GANGA AT KHURJI, PATNA U/S",12.0,33.0,23.7,7.7,9.2,8.5,8.0,8.6,8.3,209,,441,357,2.2,2.8,2.6,0.34,1.88,0.93,,,,500,2400,1720,1400,5000,3170
2552,GANGA DARBHANGA GHAT AT PATNA,18.5,33.4,25.7,7.5,9,8.2,7.8,8.5,8.2,344,,446,388,2.1,3.0,2.8,0.30,1.40,0.87,,,,2400,16000,7711,9000,24000,21444
1079,GANGA AT PATNA D/S (GANGA BDG),17.5,32.0,25.7,7.7,8.9,8.3,7.6,8.7,8.2,354,,445,391,2.5,3.0,2.9,0.16,1.20,0.75,,,,500,9000,4278,9000,24000,15333
2555,"GANGA AT PUNPUN, PATNA",17.0,33.0,25.6,6.2,8.8,7.1,7.0,8.5,7.8,324,,524,413,2.6,2.9,2.8,0.46,1.40,1.00,,,,500,2400,1333,1700,5000,2744
2553,GANGA AT FATUHA,17.0,31.0,25.2,7.6,9.2,8.4,7.5,8.3,8.1,294,,443,360,2.7,2.8,2.7,0.36,1.20,0.84,,,,1300,3000,2089,3000,9000,5056
1817,GANGA AT MOKAMA (U/S),12.0,28.0,23.7,7.8,9.1,8.5,7.1,8.3,8.0,276,,468,348,2.7,2.9,2.8,0.46,1.06,0.78,,,,1100,5000,1978,2400,9000,3956
1815,GANGA AT MOKAMA (D/S),18.0,30.0,24.9,7,8.9,8.1,7.6,8.2,8.0,324,,455,376,0.9,3.0,2.7,0.64,0.98,0.87,,,,2200,16000,6775,9000,24000,16250
1818,GANGA AT MUNGER,12.6,25.0,20.2,8,8.8,8.4,7.8,8.2,8.1,318,,455,386,2.8,2.9,2.8,0.86,2.40,1.65,,,,1300,5000,2900,2400,16000,7800
2554,"GANGA AT SULTANGANJ, BHAGALPUR",15.0,35.0,24.6,7.1,9,8.3,7.4,8.3,8.0,287,,482,361,2.6,2.8,2.7,0.62,0.96,0.76,,,,1100,3000,2033,2200,9000,4678
1819,GANGA AT BHAGALPUR,13.0,27.5,21.5,8.3,8.9,8.5,7.5,8.3,8.0,289,,378,321,2.8,2.9,2.9,0.68,1.20,0.93,,,,1700,2400,1933,2800,5000,3767
1816,GANGA AT KAHALGAON,13.0,30.0,23.5,7.4,9.1,8.3,7.7,8.3,8.0,296,,455,380,2.7,2.9,2.8,0.64,0.94,0.75,,,,300,5000,1989,3000,9000,7056
1080,GANGA AT BAHARAMPORE,18.0,32.0,27.5,6.2,10.9,7.7,7.7,8.5,8.3,182,,365,303,1.2,2.1,1.6,0.23,0.74,0.36,,,,13000,130000,63333,23000,170000,88583
2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",18.5,33.5,28.0,6.5,10,7.8,7.6,8.0,7.9,178,,386,294,0.8,2.9,1.8,0.01,0.15,0.08,,,,14000,50000,27500,22000,70000,38000
1472,GANGA AT SERAMPORE,18.0,33.0,28.5,7,9.8,7.9,7.6,8.0,7.8,185,,396,300,1.5,2.8,2.1,0.07,0.32,0.14,,,,17000,90000,41750,34000,140000,68500
1053,GANGA AT DAKSHINESHWAR,18.0,32.0,27.7,4.7,9.1,6.8,7.5,8.1,7.9,178,,376,298,1.2,6.0,4.2,0.06,0.49,0.24,,,,85000,400000,238333,135000,1400000,619583
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",20.0,32.0,27.4,6.4,9.5,7.6,8.0,8.5,8.4,157,,489,317,1.0,1.7,1.4,0.20,0.28,0.24,,,,11000,50000,21250,17000,70000,34750
1471,GANGA AT HOWRAH-SHIVPUR,18.0,32.0,27.6,5.2,9.9,6.9,7.8,8.0,7.9,178,,377,303,0.7,3.2,2.1,0.27,0.47,0.34,,,,55000,150000,107500,85000,350000,233750
1470,GANGA AT GARDEN REACH,18.0,31.0,26.9,4.8,8.6,6.2,7.6,8.2,7.9,261,,1941,740,1.4,3.0,2.2,0.12,0.55,0.37,,,,150000,250000,200000,250000,550000,400000
1052,GANGA AT ULUBERIA WEST BENGAL,18.0,32.0,27.1,4.7,9.6,6.6,7.4,8.2,7.8,220,,587,325,2.0,5.3,3.2,0.12,0.61,0.29,,,,11000,30000,19583,14000,130000,51500
1054,GANGA AT PALTA WEST BENGAL,20.0,32.0,27.8,6,10.1,7.4,7.8,8.6,8.3,175,,376,299,1.1,2.5,1.6,0.16,0.68,0.43,,,,50000,170000,87500,70000,220000,125000
1469,GANGA AT DIAMOND HARBOUR,19.0,31.0,27.5,6.5,7.2,6.9,7.5,8.3,8.0,769,,5250,2369,1.6,6.3,4.2,0.27,0.89,0.53,,,,8000,17000,12500,14000,27000,19250
http://cpcbenvis.nic.in/waterpollution/2010/RIVER%20GANGA.htm                                                                                                                                                                                                                                                                                                                                                                                                                  1/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
