Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2014 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,NITRATE- N+ NITRITE-N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1077,"GANGA AT KHURJI, PATNA U/S, BIHAR",BIHAR,13.0,33.0,24.5,7.4,9.7,8.1,7.7,8.4,8.1,268,538,376,2.0,2.5,2.3,0,0,0,1100,2400,1600,2200,5400,3436
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR,16.0,26.0,22.3,7.2,9.2,8.2,7.9,8.3,8.1,265,276,270,2.0,2.4,2.2,0,0,0,490,790,660,1100,2800,2033
2564,"GANGA  AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,16.0,34.0,23.8,7.6,9.0,8.3,7.9,8.3,8.2,288,344,311,2.0,2.7,2.5,0,0,0,700,3500,1483,2800,9200,3967
2552,GANGA DARBHANGA GHAT AT PATNA,BIHAR,16.0,34.0,24.7,7.1,9.2,7.8,7.6,8.2,7.9,271,557,402,2.4,2.9,2.8,0,0,0,3000,9200,6527,9000,24000,19091
1079,"GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR",BIHAR,15.0,35.0,24.9,7.0,9.3,7.9,7.6,8.3,8.0,276,546,402,2.6,2.8,2.7,0,0,0,1400,9000,3782,5000,24000,11564
2555,"GANGA AT PUNPUN, PATNA",BIHAR,15.0,33.0,24.7,5.0,8.2,7.3,7.3,7.8,7.7,336,782,452,2.1,2.8,2.5,0,0,0,800,3000,1382,2200,16000,4573
2553,GANGA AT FATUHA,BIHAR,14.0,33.0,24.4,7.0,9.6,8.1,7.7,8.3,8.0,269,548,386,2.0,2.5,2.3,0,0,0,900,3000,1846,2200,9000,4982
1817,GANGA AT MOKAMA (U/S),BIHAR,16.0,28.0,24.1,7.4,8.1,7.8,7.8,8.2,7.9,254,316,277,2.0,2.5,2.3,0,0,0,790,2400,1251,2200,5000,2770
1815,GANGA AT MOKAMA (D/S),BIHAR,16.0,28.0,24.0,7.2,8.0,7.7,7.6,8.1,7.8,252,358,295,2.3,2.8,2.6,0,0,0,920,5000,2792,2800,16000,9430
1818,GANGA AT MUNGER,BIHAR,17.0,28.0,23.9,7.4,7.8,7.6,7.7,8.0,7.8,242,316,268,2.3,2.6,2.4,0,0,0,1100,3000,1622,2200,9000,4411
2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,18.0,28.0,24.0,7.5,7.8,7.7,7.6,7.9,7.8,238,327,280,2.3,2.7,2.5,0,0,0,940,2400,1560,2200,5400,3722
1819,GANGA AT BHAGALPUR,BIHAR,16.0,26.0,24.4,7.5,7.9,7.7,7.6,8.1,7.8,245,314,276,2.4,2.7,2.6,0,0,0,1300,5400,2933,3000,24000,9044
1816,GANGA AT KAHALGAON,BIHAR,16.0,30.0,23.4,7.6,7.9,7.8,7.8,8.2,7.9,181,373,265,2.5,2.8,2.7,0,0,0,1400,5000,2678,5000,16000,8511
3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR,18.0,30.0,24.5,7.8,8.8,8.2,7.6,8.3,8.1,236,525,352,2.4,2.7,2.5,0,0,0,430,2400,1705,2400,9200,4683
3114,GANGA RIVER NEAR DANAPUR (NEAR PIPAPUL),BIHAR,13.0,33.0,24.1,7.2,9.7,8.1,7.8,8.4,8.1,269,532,375,2.0,2.6,2.4,0,0,0,790,1700,1198,2200,3500,2855
3115,GANGA RIVER AT BARH,BIHAR,17.5,26.0,23.4,7.5,7.9,7.8,7.8,8.0,7.9,248,272,260,2.0,2.4,2.2,0,0,0,800,1700,1106,1700,3000,2529
3116,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),BIHAR,17.0,28.0,23.8,7.6,7.9,7.8,7.8,8.0,7.9,249,318,267,2.0,2.5,2.3,0,0,0,790,1300,998,2100,3000,2478
3117,GANGA AT U/S SULTANGANJ,BIHAR,17.0,28.0,23.9,7.5,7.9,7.8,7.8,8.0,7.9,241,325,270,2.0,2.6,2.3,0,0,0,790,1700,1220,2400,3500,2844
3118,GANGA AT U/S BHAGALPUR,BIHAR,16.0,26.0,23.9,7.6,7.9,7.7,7.8,8.0,7.9,238,297,262,2.2,2.6,2.4,0,0,0,900,2200,1290,2200,5400,3020
3122,"GANGA AT MALSALAMI, PATNA",BIHAR,14.0,34.0,24.5,7.2,9.4,8.0,7.6,8.4,8.0,270,538,377,2.1,2.6,2.4,0,0,0,800,3500,1846,2400,16000,5073
3123,GANGA RIVER AT BARAHIA,BIHAR,16.0,26.0,22.5,7.5,7.9,7.7,7.6,8.1,7.9,269,355,292,2.0,2.6,2.3,0,0,0,790,1400,1048,2200,3500,2833
1080,GANGA AT BAHARAMPORE WEST BENGAL,WEST BENGAL,16.0,32.0,26.5,4.4,11.0,7.4,7.5,8.1,7.9,193,385,304,1.0,8.7,4.2,0.39,1.48,0.8,2000,900000,166358,3000,1600000,287833
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,16.0,34.0,27.4,5.1,9.8,7.4,7.4,8.2,7.9,218,795,353,1.4,4.8,3.3,0.1,1.2,0.7,3000,1300000,143275,5000,5000000,474917
2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL,20.0,35.0,28.3,5.3,9.3,6.9,7.3,8.4,8.0,164,403,312,1.5,5.0,2.8,0.3,1.4,0.8,2000,110000,34392,3400,240000,61283
1054,"GANGA AT PALTA, WEST BENGAL",WEST BENGAL,19.0,32.0,27.0,4.5,9.3,6.7,7.5,8.1,7.8,189,413,315,1.2,8.5,3.4,0.21,1.74,0.9,13000,500000,106417,23000,900000,171417
1472,"GANGA AT SERAMPORE, WEST BENGAL",WEST BENGAL,19.0,32.0,27.3,4.1,9.1,6.0,7.3,8.6,7.9,192,409,323,1.1,9.7,3.1,0.3,1.5,0.7,17000,500000,153917,30000,1600000,335000
1053,"GANGA AT DAKSHMINESWAR, WEST BENGAL",WEST BENGAL,18.5,32.0,26.5,4.1,9.2,6.7,7.7,8.5,8.0,229,473,319,1.8,7.0,4.2,0.33,0.93,0.7,85000,1100000,285833,110000,2500000,586250
1471,"GANGA AT HOWRAH-SHIVPUR, WEST BENGAL",WEST BENGAL,20.0,31.0,26.5,5.1,8.3,6.3,7.2,8.6,8.0,181,415,314,1.1,5.7,3.6,0.3,1.3,0.7,4000,250000,122417,8000,650000,286083
1470,"GANGA AT GARDEN REACH, WEST BENGAL",WEST BENGAL,18.0,31.0,26.4,5.0,8.2,6.1,7.8,8.9,8.1,195,436,322,1.2,4.8,3.2,0.3,1,0.7,65000,1200000,310417,115000,1500000,542917
1052,"GANGA AT ULUBERIA, WEST BENGAL",WEST BENGAL,19.0,33.0,27.1,4.0,8.7,6.3,7.6,8.8,8.1,257,744,368,0.6,5.8,3.4,0.3,1,0.6,4000,130000,31417,11000,300000,78083
1469,"GANGA AT DIAMOND HARBOUR, WEST BENGAL",WEST BENGAL,19.0,31.0,26.4,4.6,8.7,6.9,7.8,8.3,8.0,173,6320,1900,1.5,6.2,3.7,0.4,1.7,0.8,4000,240000,41750,9000,500000,88917
